round_epochs,loss,val_loss,batch_size,dense2_nodes,dense_layers,epochs,lr,lstm1_nodes,lstm2_nodes,lstm_layers,optimizer,time_steps
11,0.02773033724582974,0.03327264826900015,20,20,1,50,0.0005,70,70,2,adam,30
11,0.02633625938265462,0.031149049903801147,20,20,1,50,0.0005,70,70,2,adam,60
11,0.036844255754306,0.044612980385621386,20,20,1,50,0.0005,70,70,2,adam,90
11,0.0010925744149492278,0.0008349832169187721,20,20,1,50,0.0005,90,40,1,rms,30
11,0.001232433425629455,0.000664748082388232,20,20,1,50,0.0005,90,40,1,rms,60
11,0.0012759413126629197,0.0005731790792196989,20,20,1,50,0.0005,90,40,1,rms,90
11,0.011636761012463713,0.007038612568673368,20,20,1,50,0.0005,90,40,1,adam,30
11,0.0102431481983983,0.004511877577355567,20,20,1,50,0.0005,90,40,1,adam,60
11,0.009808579567886357,0.004927228282516201,20,20,1,50,0.0005,90,40,1,adam,90
11,0.0013144545536576044,0.0007945588155659303,20,20,1,50,0.0005,90,40,2,rms,30
11,0.000973456121470798,0.0016822476569127213,20,20,1,50,0.0005,90,40,2,rms,60
11,0.001138987332524266,0.0007713963892052157,20,20,1,50,0.0005,90,40,2,rms,90
11,0.024402124418797504,0.028411099454388022,20,20,1,50,0.0005,90,40,2,adam,30
11,0.021055523106226263,0.024334200400304287,20,20,1,50,0.0005,90,40,2,adam,60
11,0.03227786854745782,0.03948103450238705,20,20,1,50,0.0005,90,40,2,adam,90
11,0.0010188501487642845,0.0005523866802832345,20,20,1,50,0.0005,90,60,1,rms,30
11,0.0010559592240065516,0.0009730186566036749,20,20,1,50,0.0005,90,60,1,rms,60
11,0.0010912110707550356,0.0008673463430669573,20,20,1,50,0.0005,90,60,1,rms,90
11,0.011693684187666255,0.007217273707889642,20,20,1,50,0.0005,90,60,1,adam,30
11,0.01010822887518302,0.004796756178814363,20,20,1,50,0.0005,90,60,1,adam,60
11,0.009936932454180276,0.004522668389189574,20,20,1,50,0.0005,90,60,1,adam,90
11,0.000867722321043713,0.001465650190463445,20,20,1,50,0.0005,90,60,2,rms,30
11,0.0009246269461311955,0.0013038518385307745,20,20,1,50,0.0005,90,60,2,rms,60
11,0.000990937970731911,0.0018109066657618516,20,20,1,50,0.0005,90,60,2,rms,90
11,0.02209288978846229,0.024115286961508293,20,20,1,50,0.0005,90,60,2,adam,30
11,0.028564979072961242,0.033721617561705566,20,20,1,50,0.0005,90,60,2,adam,60
11,0.03142884407876706,0.038603086190091236,20,20,1,50,0.0005,90,60,2,adam,90
11,0.001134145126096558,0.0008037806170856735,20,20,1,50,0.0005,90,70,1,rms,30
11,0.0011686868792913638,0.0008637083903638685,20,20,1,50,0.0005,90,70,1,rms,60
